,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
197,0.0,27.0,2.0,67.0,28000000,55.7519627,37.7020754,False,False,False,True,False,482535.1687160086,32329856.303972576
198,0.0,26.0,2.0,65.0,27405000,55.755748,37.7054757,False,False,False,False,False,453006.7470583439,29445438.558792353
199,0.0,13.0,2.0,89.6,55000000,55.7523091,37.6992687,True,False,False,False,False,516754.04999947705,46301162.87995314
200,0.0,26.0,1.0,33.6,17600000,55.75081925,37.706651667974654,True,False,False,False,False,425667.83662584535,14302439.310628405
201,0.0,14.0,2.0,59.0,28000000,55.7499848,37.69131651077525,False,False,True,False,False,456473.95377730194,26931963.272860814
202,0.0,20.0,1.0,38.0,17500000,55.7516085,37.6992828,False,False,True,False,False,506086.02613571676,19231268.993157238
203,0.0,9.0,2.0,66.7,33700000,55.7523091,37.6992687,False,False,False,True,False,516754.04999947705,34467495.13496512
204,0.0,22.0,1.0,75.0,32000000,55.7509339,37.70581703825712,False,False,False,False,False,430884.86732278945,32316365.049209207
205,0.0,26.0,1.0,35.0,17000000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,14898374.281904588
206,0.0,26.0,2.0,56.0,26800000,55.75081925,37.706651667974654,True,False,False,False,False,425667.83662584535,23837398.85104734
207,0.0,14.0,1.0,37.7,19000000,55.7547176,37.6911063,False,False,False,True,False,481647.9799720594,18158128.84494664
208,0.0,20.0,1.0,31.0,15800000,55.7509339,37.70581703825712,False,False,False,False,False,430884.86732278945,13357430.887006473
209,0.0,15.0,2.0,60.0,25900000,55.7482906,37.6889591,False,False,True,False,False,428651.44418646384,25719086.65118783
211,0.0,26.0,3.0,97.0,35000000,55.7509339,37.70581703825712,False,False,True,False,False,430884.86732278945,41795832.13031057
212,0.0,26.0,2.0,56.3,25000000,55.7502515,37.6846152,False,False,False,False,False,417170.2374364697,23486684.367673244
213,0.0,29.0,1.0,36.0,20400000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,17207869.948013585
214,0.0,29.0,2.0,60.0,22700000,55.7515232,37.7036117,False,False,True,False,False,477996.38744482177,28679783.246689305
215,0.0,12.0,3.0,76.4,31000000,55.7482906,37.6889591,False,False,True,False,False,428651.44418646384,32748970.33584584
